FEEDERID,FEEDER,DISTRICT
107,BELIZE TECHNICAL COLLEGE,Belize
164, UNIVERSITY OF BELIZE,Cayo
104,BELMOPAN COMPREHENSIVE SCHOOL,Cayo
148,ST. JOHN'S COLLEGE,Belize
116,COROZAL COMMUNITY COLLEGE,Corozal
143,SACRED HEART JUNIOR COLLEGE,Cayo
93,ANGLICAN CATHEDRAL COLLEGE,Belize
155, STANN CREEK ECUMENICAL HIGH SC,Stann Creek
152,ST. JOHN'S COLLEGE JUNIOR COLLEGE,Belize
700,Unknown,Unknown
134,MUFFLES COLLEGE,Orange Walk
156,STANN CREEK ECUMENICAL JR. COLLEGE,Stann Creek
128,KING'S COLLEGE,Belize
117,COROZAL JUNIOR COLLEGE,Corozal
142,SACRED HEART COLLEGE,Cayo
120,EDWARD P. YORKE,Belize
126,INDEPENDENCE HIGH SCHOOL,Belize
166,*WESLEY COLLEGE,Belize
121,ESCUELA MEXICO,Corozal
158,TOLEDO COMMUNITY COLLEGE,Toledo
98,BELIZE CHRISTIAN ACADEMY,Cayo
132,MOPAN TECHNICAL HIGH SCHOOL,Cayo
135,MUFFLES JUNIOR COLLEGE,Orange Walk
119,EDEN SDA HIGH,Cayo
169,INDEPENDENCE JUNIOR COLLEGE,Stann Creek
127,JULIAN CHO TECHNICAL HIGH,Toledo
123,FOREIGN,Foreign
101,BELMOPAN BAPTIST HIGH SCHOOL,Cayo
105,BELIZE COLLEGE OF AGRICULTURE,Orange Walk
133,MOUNT CARMEL HIGH SCHOOL,Cayo
138,ORANGE WALK TECHNICAL,Orange Walk
111,CANAAN SDA HIGH SCHOOL,Belize
176,MAUD WILLIAMS HIGHSCHOOL,Belize
91,ADULT & CONTINUING EDUCATION,Cayo
125,GWEN LIZARRAGA,Belize
108,BELIZE ADVENTIST COLLEGE,Corozal
129,LADYVILLE TECHNICAL HIGH,Belize
136,NAZARENE HIGH SCHOOL,Belize
140,PALLOTTI HIGH SCHOOL,Belize
94,AUSTIN HIGH SCH,Foreign
139,OUR LADY OF GUADALUPE HIGH SCH,Cayo
149,ST. CATHERINE ACADEMY,Belize
96,BELIZE ADVENTIST JUNIOR COLLEGE,Corozal
99,BELIZE COMMUNITY HIGH SCHOOL,Belize
109,BELIZE RURAL HIGH SCHOOL,Belize
100,BELMOPAN BAPTIST ACE,Cayo
118,DELILLE ACADEMY,Stann Creek
151,ST. JOHN'S COLLEGE EXTENSION,Belize
146,SAN PEDRO HIGH SCHOOL,Belize
170, WESTERN CHRISTIAN ACADEMY,Foreign
150,ST. IGNATIUS HIGH SCHOOL,Cayo
145,SAN JUAN BAUTISTA HIGH SCHOOL,Orange Walk
157,BELIZE TEACHERS' COLLEGE,Belize
147,SAN PEDRO JUNIOR COLLEGE,Belize
179,NEW SCHOOL,Orange Walk
137,NEW HOPE HIGH SCHOOL,Orange Walk
174,CAYO CHRISTIAN ACADEMY,Cayo
144,SADIE VERNON TECHNICAL HIGH SC,Belize
190,ST. PETER CLAVER EXTENSION,Toledo
122,EXCELSIOR HIGH,Belize
141,ROSE GLEN CHRISTIAN SCHOOL,Cayo
180,AYOUNG NAZARENE HIGH SCHOOL,Belize
191,BELIZE HIGH SCHOOL,Belize
167, WESLEY JUNIOR COLLEGE,Belize
172,ESCUELA MEXICO JR COLLEGE,Corozal
124,GEORGETOWN TECHNICAL H.S.,Stann Creek
184,CORAZON CREEK TECHNICAL HIGH,Toledo
185,OCEAN ACADEMY,Belize
175,VOP - SDA ACADEMY,Cayo
197,BELMOPAN METHODIST HIGH SCHOOL,Cayo
193,PROVIDENCE SDA HIGH SCHOOL,Toledo
196,ST. IGNATIUS HIGH SCHOOL EVENING DIVISION,Cayo
202,JIREH HIGH SCHOOL,Cayo
163,UNIVERSITY OF THE WEST INDIES,Belize
103,BISHOP MARTIN HIGH SCHOOL,Orange Walk
187,SARTENEJA BAPTIST HIGH SCHOOL,Corozal
195,GWEN LIZARRAGA EVENING DIVISION,Belize
198,JOHN PAUL II JUNIOR COLLEGE,Cayo
194,LINDA VISTA HIGH SCHOOL,Orange Walk
